city,population_density,date,year,month,day,dayofweek,quarter,is_weekend,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_capacity,pollution_mean,pollution_max,pm_ratio,hospital_admissions
Los Angeles,Rural,2020-01-01,2020,1,1,2,1,0,65,34.0,52.7,2.2,38.5,33.5,33,1337,38.48,65.0,0.6451612903225806,5
Beijing,Urban,2020-01-02,2020,1,2,3,1,0,137,33.7,31.5,36.7,27.5,-1.6,32,1545,53.279999999999994,137.0,1.06984126984127,4
London,Suburban,2020-01-03,2020,1,3,4,1,0,266,43.0,59.6,30.4,57.3,36.4,25,1539,91.26,266.0,0.7214765100671141,10
Mexico City,Urban,2020-01-04,2020,1,4,5,1,1,293,33.7,37.9,12.3,42.7,-1.0,67,552,83.91999999999999,293.0,0.8891820580474935,10
Delhi,Suburban,2020-01-05,2020,1,5,6,1,1,493,50.3,34.8,31.2,35.6,33.5,72,1631,128.98,493.0,1.4454022988505748,9
Cairo,Urban,2020-01-06,2020,1,6,0,1,0,28,67.2,44.9,41.9,47.8,7.9,89,1291,45.96,67.2,1.4966592427616927,11
Los Angeles,Urban,2020-01-07,2020,1,7,1,1,0,217,29.0,63.7,22.3,56.0,27.7,22,1852,77.6,217.0,0.4552590266875981,8
Los Angeles,Urban,2020-01-08,2020,1,8,2,1,0,449,60.8,56.2,40.0,18.1,26.3,46,350,124.82000000000001,449.0,1.081850533807829,14
Delhi,Urban,2020-01-09,2020,1,9,3,1,0,342,44.9,63.4,31.0,34.9,28.0,34,878,103.23999999999998,342.0,0.7082018927444795,7
Beijing,Urban,2020-01-10,2020,1,10,4,1,0,279,27.1,101.0,47.8,42.2,-2.1,24,179,99.42,279.0,0.26831683168316833,8
Beijing,Urban,2020-01-11,2020,1,11,5,1,1,484,56.6,46.3,33.2,27.3,27.9,62,600,129.48,484.0,1.2224622030237582,9
Tokyo,Suburban,2020-01-12,2020,1,12,6,1,1,472,44.7,56.6,35.1,31.1,9.4,26,154,127.90000000000002,472.0,0.7897526501766785,5
Mexico City,Rural,2020-01-13,2020,1,13,0,1,0,276,46.3,50.5,32.8,52.6,24.7,53,1042,91.64000000000001,276.0,0.9168316831683168,11
London,Urban,2020-01-14,2020,1,14,1,1,0,290,0.4,43.0,25.3,55.8,8.8,33,989,82.9,290.0,0.009302325581395349,3
Beijing,Urban,2020-01-15,2020,1,15,2,1,0,475,45.0,47.6,38.5,54.6,10.4,76,1461,132.14000000000001,475.0,0.9453781512605042,6
Delhi,Urban,2020-01-16,2020,1,16,3,1,0,423,34.2,31.4,36.1,32.8,24.7,70,1472,111.49999999999997,423.0,1.0891719745222932,5
Mexico City,Urban,2020-01-17,2020,1,17,4,1,0,269,41.3,46.0,22.9,39.7,-4.7,74,1337,83.78,269.0,0.8978260869565217,10
Delhi,Suburban,2020-01-18,2020,1,18,5,1,1,475,44.4,34.8,41.4,67.2,25.4,27,1374,132.56,475.0,1.2758620689655173,10
London,Urban,2020-01-19,2020,1,19,6,1,1,34,41.5,17.3,40.3,44.4,2.5,35,893,35.5,44.4,2.398843930635838,8
Mexico City,Urban,2020-01-20,2020,1,20,0,1,0,234,42.3,47.3,17.2,43.7,34.4,36,1508,76.9,234.0,0.8942917547568711,11
Los Angeles,Rural,2020-01-21,2020,1,21,1,1,0,402,47.0,13.8,29.2,30.8,30.3,84,1785,104.55999999999999,402.0,3.4057971014492754,8
Beijing,Suburban,2020-01-22,2020,1,22,2,1,0,164,31.1,66.1,20.2,31.9,5.1,69,1500,62.65999999999999,164.0,0.470499243570348,8
Cairo,Urban,2020-01-23,2020,1,23,3,1,0,429,61.3,43.2,30.1,37.8,35.3,28,1041,120.28,429.0,1.4189814814814814,8
Tokyo,Urban,2020-01-24,2020,1,24,4,1,0,161,44.4,51.6,25.3,15.0,28.5,86,89,59.46,161.0,0.8604651162790697,7
Los Angeles,Urban,2020-01-25,2020,1,25,5,1,1,385,24.0,31.5,28.1,29.6,-2.6,23,1187,99.64000000000001,385.0,0.7619047619047619,3
Delhi,Urban,2020-01-26,2020,1,26,6,1,1,184,40.3,57.1,15.6,45.1,6.6,36,59,68.42000000000002,184.0,0.7057793345008756,8
Beijing,Urban,2020-01-27,2020,1,27,0,1,0,382,19.5,33.3,24.8,44.1,9.2,38,1852,100.74000000000001,382.0,0.5855855855855856,7
Delhi,Suburban,2020-01-28,2020,1,28,1,1,0,132,47.1,51.1,23.4,48.0,-3.5,91,1866,60.32000000000001,132.0,0.9217221135029354,9
Delhi,Urban,2020-01-29,2020,1,29,2,1,0,169,19.8,30.1,40.8,58.8,32.2,62,1099,63.7,169.0,0.6578073089700996,15
Mexico City,Suburban,2020-01-30,2020,1,30,3,1,0,470,32.6,37.0,39.7,37.0,5.0,20,892,123.26000000000002,470.0,0.8810810810810811,7
Los Angeles,Urban,2020-01-31,2020,1,31,4,1,0,388,30.6,53.8,10.7,13.3,-1.4,36,1228,99.28,388.0,0.5687732342007435,10
Cairo,Urban,2020-02-01,2020,2,1,5,1,1,263,47.4,63.0,32.0,60.2,33.1,25,881,93.11999999999999,263.0,0.7523809523809524,16
Beijing,Urban,2020-02-02,2020,2,2,6,1,1,52,23.5,17.0,44.7,43.0,12.1,65,177,36.04,52.0,1.3823529411764706,8
